INPUT,MOLECULAR_FORMULA,AVERAGE_MASS,DENSITY_G/CM^3_TEST_PRED,VAPOR_PRESSURE_MMHG_TEST_PRED,WATER_SOLUBILITY_MOL/L_TEST_PRED,BIODEGRADATION_HALF_LIFE_DAYS_DAYS_OPERA_PRED,HENRYS_LAW_ATM-M3/MOLE_OPERA_PRED,OCTANOL_AIR_PARTITION_COEFF_LOGKOA_OPERA_PRED,SOIL_ADSORPTION_COEFFICIENT_KOC_L/KG_OPERA_PRED,OCTANOL_WATER_PARTITION_LOGP_OPERA_PRED,VAPOR_PRESSURE_MMHG_OPERA_PRED,WATER_SOLUBILITY_MOL/L_OPERA_PRED
DTXSID7041205,C10H18O,154.253,0.956,0.105196,0.0103992,6.23891,9.15565E-06,6.57452,1843.37,3.1702,0.0357015,0.0053693
DTXSID2029290,C10H16,136.238,0.881,7.29458,0.000211349,7.18821,0.133474,4.4445,2660.91,4.82559,4.71177,1.84611E-05
DTXSID6041183,C10H18O,154.253,0.956,0.105196,0.0103992,6.23891,9.15565E-06,6.57452,1843.37,3.1702,0.0357015,0.0053693
DTXSID1041184,C10H16,136.238,0.871,3.54813,0.000127644,24.2705,0.0610123,4.47666,2663.8,4.16124,2.89732,2.71895E-05
DTXSID2058253,C21H20Cl2O3,391.29,1.254,2.05116E-08,5.61048E-08,3.35145,2.38712E-08,11.6839,63169.8,6.49886,2.18894E-08,2.13009E-07
DTXSID00868440,C16H9ClF3NO7,419.69,1.634,3.34965E-09,1.47231E-06,3.54246,3.3866E-09,10.9264,354.078,4.26929,1.01547E-08,1.49822E-06
DTXSID0036766,C15H20O4,264.321,1.125,1.84502E-06,0.000957194,3.09993,1.04158E-08,8.41362,393.299,1.68767,3.80738E-08,0.0124599
DTXSID1041269,C15H26O,222.372,0.946,0.00194089,0.000108143,166.227,8.66954E-06,9.23161,7234.9,4.16484,0.0032442,0.000392373
DTXSID0042454,C17H34O4,302.455,0.984,1.98609E-07,0.000447713,5.81965,1.93795E-09,9.14795,2787.99,5.05043,3.55473E-08,0.00376076
DTXSID6041636,C10H12O2,164.204,1.038,0.0299226,0.00959401,4.29572,0.000125138,5.00317,103.344,2.64322,0.0166093,0.00323507
DTXSID1051480,C15H22O,218.34,0.996,0.000179473,0.000458142,72.1644,0.000192366,7.32484,2646.79,4.55366,0.00233541,0.000581025
DTXSID1041425,C6H10O,98.145,0.865,4.84172,0.0452898,4.27589,4.90495E-05,3.65196,18.6197,1.10063,21.1711,0.0959834
DTXSID4034601,C20H33NO,303.49,0.918,1.91867E-05,1.99067E-05,12.6434,7.34017E-07,8.85004,1594.18,4.93207,3.00654E-08,1.42154E-05
DTXSID3026728,C10H18O,154.253,0.88,0.0286418,0.00172982,4.46853,5.60618E-07,7.64617,96.8741,3.55828,0.0300552,0.00150491
DTXSID30274196,C15H26O,222.372,0.887,0.000240991,7.56833E-05,4.53509,1.59716E-06,8.53825,1294.2,4.91156,0.00229965,7.92083E-05
DTXSID7035301,C20H36O2,308.506,0.857,4.31519E-06,0.000041115,5.73218,2.61834E-07,9.37085,6844.35,7.2959,5.03987E-06,3.28946E-06
DTXSID0041484,C8H14O2,142.198,0.916,0.924698,0.0094189,4.62806,0.000461836,4.4981,64.1198,2.58187,1.31488,0.00937393
DTXSID2035302,C20H36O2,308.506,0.857,4.31519E-06,0.000041115,5.73218,2.61834E-07,9.37085,6844.35,7.2959,5.03987E-06,3.28946E-06
DTXSID5041514,C10H18O,154.253,0.849,0.201372,0.00266073,4.50867,0.000616549,5.0592,290.735,3.54084,0.0943667,0.000264559
DTXSID60236984,C11H8ClNO3,237.64,1.4,3.25837E-07,0.000598412,3.54151,8.33413E-10,9.81153,484.564,2.24141,5.40154E-08,0.000346081
DTXSID0041563,C14H26O,210.361,0.877,4.42588E-05,6.13762E-05,4.42673,2.05117E-05,9.16249,1460.9,5.13888,0.000107382,1.30285E-05
DTXSID8026563,C22H43NO3,369.59,0.951,1.72982E-09,0.000184927,5.81727,1.04058E-10,9.50023,14008.7,4.33785,1.69568E-09,0.000110722
DTXSID0041567,C18H34O3,298.467,0.955,8.07235E-08,0.000104232,3.71443,6.25757E-09,9.16874,2530.18,6.02208,2.77542E-07,0.0116012
DTXSID2052368,C44H87N5O2,718.213,0.794,2.33884E-16,4.23643E-09,14.0886,6.61854E-11,9.55829,20525,9.44267,2.70381E-09,7.83454E-07
DTXSID3042136,C8H10O2,138.166,1.082,0.016788,0.120504,5.40827,2.61921E-07,6.78171,43.5733,1.2375,0.0112457,0.0892348
DTXSID1035286,C16H30O2,254.414,0.865,0.000260615,3.08319E-05,5.71817,7.30047E-07,8.41366,1807.45,6.3775,0.000107956,8.44943E-06
