"","ID","chemical","tissue","Type","Source","unit","Species","applicationrate"
"1","PMK2061","X34.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Pseudacris regilla","unknown"
"2","PMK2062","X34.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Pseudacris regilla","unknown"
"3","PMK2063","X34.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Pseudacris regilla","unknown"
"4","PMK2064","X34.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Pseudacris regilla","unknown"
"5","PMK2065","X34.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Pseudacris regilla","unknown"
"6","PMK2066","X34.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Pseudacris regilla","unknown"
"7","PMK2067","X34.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Pseudacris regilla","unknown"
"8","PMK2068","X34.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Pseudacris regilla","unknown"
"9","PMK2069","X34.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Pseudacris regilla","unknown"
"10","PMK2070","X34.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Pseudacris regilla","unknown"
"11","PMK2071","X34.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Pseudacris regilla","unknown"
"12","PMK2072","X34.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Pseudacris regilla","unknown"
"13","PMK2016","X34.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Pseudacris regilla","unknown"
"14","PMK2017","X34.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Pseudacris regilla","unknown"
"15","PMK2018","X34.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Pseudacris regilla","unknown"
"16","PMK2019","X34.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Pseudacris regilla","unknown"
"17","PMK2020","X34.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Pseudacris regilla","unknown"
"18","PMK2021","X34.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Pseudacris regilla","unknown"
"19","PMK2022","X34.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Pseudacris regilla","unknown"
"20","PMK2024","X34.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Pseudacris regilla","unknown"
"21","PMK2025","X34.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Pseudacris regilla","unknown"
"22","PMK2026","X34.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Pseudacris regilla","unknown"
"23","PMK2027","X34.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Pseudacris regilla","unknown"
"24","PMK2028","X34.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Pseudacris regilla","unknown"
"25","PMK2029","X34.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Pseudacris regilla","unknown"
"26","PMK2030","X34.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Pseudacris regilla","unknown"
"27","PMK2046","X34.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Pseudacris regilla","unknown"
"28","PMK2047","X34.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Pseudacris regilla","unknown"
"29","PMK2048","X34.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Pseudacris regilla","unknown"
"30","PMK2049","X34.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Pseudacris regilla","unknown"
"31","PMK2050","X34.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Pseudacris regilla","unknown"
"32","PMK2051","X34.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Pseudacris regilla","unknown"
"33","PMK2052","X34.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Pseudacris regilla","unknown"
"34","PMK2053","X34.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Pseudacris regilla","unknown"
"35","PMK2054","X34.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Pseudacris regilla","unknown"
"36","PMK2055","X34.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Pseudacris regilla","unknown"
"37","PMK2056","X34.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Pseudacris regilla","unknown"
"38","PMK2057","X34.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Pseudacris regilla","unknown"
"39","PMK2058","X34.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Pseudacris regilla","unknown"
"40","PMK2059","X34.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Pseudacris regilla","unknown"
"41","PMK2060","X34.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Pseudacris regilla","unknown"
"42","PMK2031","X34.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Pseudacris regilla","unknown"
"43","PMK2032","X34.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Pseudacris regilla","unknown"
"44","PMK2033","X34.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Pseudacris regilla","unknown"
"45","PMK2034","X34.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Pseudacris regilla","unknown"
"46","PMK2035","X34.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Pseudacris regilla","unknown"
"47","PMK2036","X34.DCA",0.007,"Field","Battaglin et al. 2016","ug/kg","Pseudacris regilla","unknown"
"48","PMK2037","X34.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Pseudacris regilla","unknown"
"49","PMK2038","X34.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Pseudacris regilla","unknown"
"50","PMK2039","X34.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Pseudacris regilla","unknown"
"51","PMK2040","X34.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Pseudacris regilla","unknown"
"52","PMK2041","X34.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Pseudacris regilla","unknown"
"53","PMK2042","X34.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Pseudacris regilla","unknown"
"54","PMK2043","X34.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Pseudacris regilla","unknown"
