"","Frequency","Max..ug.g.","Component.Name","CAS..","sample","tissue","name","species"
"1",18,0.278051271,"DDE, o,p'-","3424-82-6","T.BULL.1",NA,"BT","Bufo Terrestris"
"2",10,0.019802372,"Alachlor—","15972-60-8","T.BULL.1",NA,"BT","Bufo Terrestris"
"3",10,0.014642718,"Biphenyl","92-52-4","T.BULL.1",NA,"BT","Bufo Terrestris"
"4",9,0.024404529,"Malathion","121-75-5","T.BULL.1",NA,"BT","Bufo Terrestris"
"5",5,0.086534301,"Diphenylamine","122-39-4","T.BULL.1",NA,"BT","Bufo Terrestris"
"6",5,0.03646574,"DDT, o,p'-","789-02-6","T.BULL.1",NA,"BT","Bufo Terrestris"
"7",3,0.030944783,"Endosulfan sulfate","1031-07-8","T.BULL.1",0.030944783,"BT","Bufo Terrestris"
"8",2,0.021880402,"Mirex","2385-85-5","T.BULL.1",NA,"BT","Bufo Terrestris"
"9",2,0.213824126,"Flutolanil","66332-96-5","T.BULL.1",NA,"BT","Bufo Terrestris"
"10",1,0.04107226,"Tebuconazole","107534-96-3","T.BULL.1",NA,"BT","Bufo Terrestris"
"11",1,0.015376667,"2-Phenylphenol","90-43-7","T.BULL.1",NA,"BT","Bufo Terrestris"
"12",1,0.043760803,"Triadimenol","55219-65-3","T.BULL.1",NA,"BT","Bufo Terrestris"
"13",1,0.014642718,"Bifenthrin","82657-04-3","T.BULL.1",NA,"BT","Bufo Terrestris"
"14",1,0.018665771,"Nonachlor, trans-","39765-80-5","T.BULL.1",NA,"BT","Bufo Terrestris"
"15",1,0.018665771,"Chlordane","57-74-9","T.BULL.1",NA,"BT","Bufo Terrestris"
"16",1,0.014429459,"DDE, p,p'-","72-55-9","T.BULL.1",NA,"BT","Bufo Terrestris"
"17",1,0.039858105,"Dichlorobenzophenone, 4,4'-","90-98-2","T.BULL.1",NA,"BT","Bufo Terrestris"
"18",1,0.010735719,"DDD, o,p'-","53-19-0","T.BULL.1",NA,"BT","Bufo Terrestris"
"19",0,0,"Metolachlor","51218-45-2","T.BULL.1",NA,"BT","Bufo Terrestris"
"20",0,0,"Acetochlor","34256-82-1","T.BULL.1",NA,"BT","Bufo Terrestris"
"21",0,0,"Atrazine","1912-24-9","T.BULL.1",NA,"BT","Bufo Terrestris"
"22",0,0,"N-(2;4-Dimethylphenyl)formamide","60397-77-5","T.BULL.1",NA,"BT","Bufo Terrestris"
"23",0,0,"Pendimethalin","40487-42-1","T.BULL.1",NA,"BT","Bufo Terrestris"
"24",0,0,"Anthraquinone","84-65-1","T.BULL.1",NA,"BT","Bufo Terrestris"
"25",0,0,"Chlorothalonil","1897-45-6","T.BULL.1",NA,"BT","Bufo Terrestris"
"26",0,0,"Triadimefon","43121-43-3","T.BULL.1",NA,"BT","Bufo Terrestris"
"27",0,0,"Tetrahydrophthalimide","1469-48-3","T.BULL.1",NA,"BT","Bufo Terrestris"
"28",0,0,"Endosulfan II","33213-65-9","T.BULL.1",NA,"BT","Bufo Terrestris"
"29",0,0,"Permethrin, trans-","61949-77-7","T.BULL.1",NA,"BT","Bufo Terrestris"
"30",0,0,"Dichloroaniline, 3,4'-","95-76-1","T.BULL.1",NA,"BT","Bufo Terrestris"
"31",0,0,"Fipronil","120068-37-3","T.BULL.1",NA,"BT","Bufo Terrestris"
"32",0,0,"Methyl parathion","298-00-0","T.BULL.1",NA,"BT","Bufo Terrestris"
"33",0,0,"Cyprodinil","121552-61-2","T.BULL.1",NA,"BT","Bufo Terrestris"
"34",0,0,"Endosulfan ether","3369-52-6","T.BULL.1",NA,"BT","Bufo Terrestris"
"35",0,0,"Dieldrin ","60-57-1","T.BULL.1",NA,"BT","Bufo Terrestris"
"36",0,0,"Chloropropylate","5836-10-2","T.BULL.1",NA,"BT","Bufo Terrestris"
"37",0,0,"Lenacil","2164-08-1","T.BULL.1",NA,"BT","Bufo Terrestris"
"38",0,0,"Fludioxonil","131341-86-1","T.BULL.1",NA,"BT","Bufo Terrestris"
"39",0,0,"Pretilachlor","51218-49-6","T.BULL.1",NA,"BT","Bufo Terrestris"
"40",0,0,"Fenson","80-38-6","T.BULL.1",NA,"BT","Bufo Terrestris"
"41",0,0,"Bioallethrin—","584-79-2","T.BULL.1",NA,"BT","Bufo Terrestris"
"42",0,0,"Piperonyl butoxide","51-03-6","T.BULL.1",NA,"BT","Bufo Terrestris"
"43",0,0,"Permethrin, cis-—","61949-76-6","T.BULL.1",NA,"BT","Bufo Terrestris"
"44",0,0,"Fenvalerate 1††","51630-58-1","T.BULL.1",NA,"BT","Bufo Terrestris"
"45",0,0,"Acrinathrin","101007-06-1","T.BULL.1",NA,"BT","Bufo Terrestris"
"46",0,0,"Chlorpropham","101-21-3","T.BULL.1",NA,"BT","Bufo Terrestris"
"47",0,0,"Imidacloprid-D4","1015855-75-0","T.BULL.1",NA,"BT","Bufo Terrestris"
"48",0,0,"Heptachlor epoxide","1024-57-3","T.BULL.1",NA,"BT","Bufo Terrestris"
"49",0,0,"tau-Fluvalinate 1††","102851-06-9","T.BULL.1",NA,"BT","Bufo Terrestris"
"50",0,0,"Chlorbenside","103-17-3","T.BULL.1",NA,"BT","Bufo Terrestris"
"51",0,0,"Resmethrin 1††","10453-86-8","T.BULL.1",NA,"BT","Bufo Terrestris"
"52",0,0,"Dichlofluanid","1085-98-9","T.BULL.1",NA,"BT","Bufo Terrestris"
"53",0,0,"Pebulate","1114-71-2","T.BULL.1",NA,"BT","Bufo Terrestris"
"54",0,0,"Cycloate","1134-23-2","T.BULL.1",NA,"BT","Bufo Terrestris"
"55",0,0,"MGK 264 1††","113-48-4","T.BULL.1",NA,"BT","Bufo Terrestris"
"56",0,0,"Endosulfan","115-29-7","T.BULL.1",NA,"BT","Bufo Terrestris"
"57",0,0,"Tetradifon","116-29-0","T.BULL.1",NA,"BT","Bufo Terrestris"
"58",0,0,"Tecnazene","117-18-0","T.BULL.1",NA,"BT","Bufo Terrestris"
"59",0,0,"Transfluthrin","118712-89-3","T.BULL.1",NA,"BT","Bufo Terrestris"
"60",0,0,"Hexachlorobenzene","118-74-1","T.BULL.1",NA,"BT","Bufo Terrestris"
"61",0,0,"Pyridaphenthion","119-12-0","T.BULL.1",NA,"BT","Bufo Terrestris"
"62",0,0,"Tebufenpyrad","119168-77-3","T.BULL.1",NA,"BT","Bufo Terrestris"
"63",0,0,"Diclobenil","1194-65-6","T.BULL.1",NA,"BT","Bufo Terrestris"
"64",0,0,"Thiacloprid","11988-49-9","T.BULL.1",NA,"BT","Bufo Terrestris"
"65",0,0,"Fenitrothion","122-14-5","T.BULL.1",NA,"BT","Bufo Terrestris"
"66",0,0,"Chlorfenapyr","122453-73-0","T.BULL.1",NA,"BT","Bufo Terrestris"
"67",0,0,"Clothianidin-D3","126776-24-8","T.BULL.1",NA,"BT","Bufo Terrestris"
"68",0,0,"Carfentrazone ethyl","128639-02-1","T.BULL.1",NA,"BT","Bufo Terrestris"
"69",0,0,"Thiamethoxam-D3","1294048-82-0","T.BULL.1",NA,"BT","Bufo Terrestris"
"70",0,0,"Terbufos","13071-79-9","T.BULL.1",NA,"BT","Bufo Terrestris"
"71",0,0,"Bromfenvinphos-methyl","13104-21-7","T.BULL.1",NA,"BT","Bufo Terrestris"
"72",0,0,"Captan","133-06-2","T.BULL.1",NA,"BT","Bufo Terrestris"
"73",0,0,"Folpet","133-07-3","T.BULL.1",NA,"BT","Bufo Terrestris"
"74",0,0,"Pyrazophos","13457-18-6","T.BULL.1",NA,"BT","Bufo Terrestris"
"75",0,0,"Acetamiprid-D3","1353869-35-8","T.BULL.1",NA,"BT","Bufo Terrestris"
"76",0,0,"Acetamiprid","135410-20-7","T.BULL.1",NA,"BT","Bufo Terrestris"
"77",0,0,"Quinalphos","13593-03-8","T.BULL.1",NA,"BT","Bufo Terrestris"
"78",0,0,"Fluquinconazole","136426-54-5","T.BULL.1",NA,"BT","Bufo Terrestris"
"79",0,0,"Imidacloprid","138261-41-3","T.BULL.1",NA,"BT","Bufo Terrestris"
"80",0,0,"Nitenpyram","150824-47-8","T.BULL.1",NA,"BT","Bufo Terrestris"
"81",0,0,"Thiamethoxam","153719-23-4","T.BULL.1",NA,"BT","Bufo Terrestris"
"82",0,0,"Trifluralin","1582-09-8","T.BULL.1",NA,"BT","Bufo Terrestris"
"83",0,0,"Dinotefuran","165252-70-0","T.BULL.1",NA,"BT","Bufo Terrestris"
"84",0,0,"Edifenphos","17109-49-8","T.BULL.1",NA,"BT","Bufo Terrestris"
"85",0,0,"Thiacloprid-D4","1793071-39-2","T.BULL.1",NA,"BT","Bufo Terrestris"
"86",0,0,"Iodofenfos","18181-70-9","T.BULL.1",NA,"BT","Bufo Terrestris"
"87",0,0,"Bromopropylate","18181-80-1","T.BULL.1",NA,"BT","Bufo Terrestris"
"88",0,0,"Pentachlorothioanisole","1825-19-0","T.BULL.1",NA,"BT","Bufo Terrestris"
"89",0,0,"Pentachloroanisole","1825-21-4","T.BULL.1",NA,"BT","Bufo Terrestris"
"90",0,0,"Nitrofen","1836-75-5","T.BULL.1",NA,"BT","Bufo Terrestris"
"91",0,0,"Chlorthal-dimethyl","1861-32-1","T.BULL.1",NA,"BT","Bufo Terrestris"
"92",0,0,"Benfluralin","1861-40-1","T.BULL.1",NA,"BT","Bufo Terrestris"
"93",0,0,"Propachlor","1918-16-7","T.BULL.1",NA,"BT","Bufo Terrestris"
"94",0,0,"Oxadiazon","19666-30-9","T.BULL.1",NA,"BT","Bufo Terrestris"
"95",0,0,"Pentachlorobenzonitrile","20925-85-3","T.BULL.1",NA,"BT","Bufo Terrestris"
"96",0,0,"EPN","2104-64-5","T.BULL.1",NA,"BT","Bufo Terrestris"
"97",0,0,"Bromophos-methyl","2104-96-3","T.BULL.1",NA,"BT","Bufo Terrestris"
"98",0,0,"Clothianidin","210880-92-5","T.BULL.1",NA,"BT","Bufo Terrestris"
"99",0,0,"4,4'-Methoxychlor olefin","2132-70-9","T.BULL.1",NA,"BT","Bufo Terrestris"
"100",0,0,"Leptophos","21609-90-5","T.BULL.1",NA,"BT","Bufo Terrestris"
"101",0,0,"Fenamiphos","22224-92-6","T.BULL.1",NA,"BT","Bufo Terrestris"
"102",0,0,"Tetrachlorvinphos","22248-79-9","T.BULL.1",NA,"BT","Bufo Terrestris"
"103",0,0,"Diallate 1††","2303-16-4","T.BULL.1",NA,"BT","Bufo Terrestris"
"104",0,0,"Triallate","2303-17-5","T.BULL.1",NA,"BT","Bufo Terrestris"
"105",0,0,"Phosalone","2310-17-0","T.BULL.1",NA,"BT","Bufo Terrestris"
"106",0,0,"Propargite—","2312-35-8","T.BULL.1",NA,"BT","Bufo Terrestris"
"107",0,0,"Pirimiphos-ethyl","23505-41-1","T.BULL.1",NA,"BT","Bufo Terrestris"
"108",0,0,"Propyzamide","23950-58-5","T.BULL.1",NA,"BT","Bufo Terrestris"
"109",0,0,"Triazophos","24017-47-8","T.BULL.1",NA,"BT","Bufo Terrestris"
"110",0,0,"Captafol","2425-06-1","T.BULL.1",NA,"BT","Bufo Terrestris"
