ID,Date,Bifenthrin,Fenbuconazole,ppDDE,Tebuconazole
C1W,5/24/2016,ND,7.3,ND,230
C2W,5/24/2016,ND,5.4,ND,71.8
C3W,5/24/2016,ND,12.6,ND,24.4
C4W,5/24/2016,ND,31,ND,23.2
C5W,5/24/2016,ND,41.9,ND,19.1
C1CG,5/24/2016,ND,ND,7.6,229
C2CG,5/24/2016,ND,ND,ND,34.6
C3CG,5/24/2016,ND,44.6,ND,ND
C4CG,5/24/2016,ND,ND,21.7,11.6
C5CG,5/24/2016,ND,ND,43.8,33.3
60.3,8/8/2016,ND,ND,ND,20.1
89.2,8/8/2016,1.4,ND,3.26,4.9
78.3,8/9/2016,ND,ND,28,ND
4.4,8/8/2016,2.09,ND,4.59,ND
13.3,8/8/2016,ND,ND,ND,ND
18,8/8/2016,ND,ND,ND,ND
26.3,8/8/2016,ND,ND,ND,ND
42,8/8/2016,ND,ND,21,ND
45.2,8/8/2016,ND,ND,ND,ND
48,8/8/2016,ND,ND,ND,ND
