"","gen","prop_underpredict_mean","dt_mean","dt_sd","movement_rate_mean","movement_rate_sd","bioavail_mean","bioavail_sd","dermal_sa_slope_mean","dermal_sa_slope_sd","dermal_sa_exponent_mean","dermal_sa_exponent_sd","dermal_fraction_mean","dermal_fraction_sd","score_median"
"1",1,0.883871360759494,0.001,0.003,0.001,10,0.01,0.21,1.131,11.003,0.579,0.6112,0.1,0.5,NA
"2",2,0.862789715189873,0.00184464132169462,0.000560973158384076,5.1378,5.1378,0.14580521259903,0.0415799161135793,6.02459401232664,2.87258209456827,0.595239254844343,0.00933820307494657,0.349910896770647,0.0979676449327451,2924.49966446042
"3",3,0.845673364978903,0.0016924676554384,0.000399072523467961,5.34080000037395,5.34080000037395,0.157375404748075,0.0276189962402441,6.04444459535663,2.3302438284686,0.595638810499693,0.00760330960262786,0.377145863901984,0.067654928546988,2707.09366651561
"4",4,0.828009124472574,0.00153705695836734,0.000288653838008722,5.42320000906686,5.42320000906686,0.166793076456161,0.0218279490049032,6.05076425222012,2.09087462844667,0.595809321881623,0.00685590243766005,0.395592429459168,0.052893502745437,2564.61999844944
"5",NA,NA,0.00141240908787729,0.000209141368311256,5.65320004172107,5.65320004172107,0.173467664049237,0.0178280529814766,6.05980894326548,1.96053970060698,0.596105144550296,0.00633044837486236,0.411742368222946,0.0428625513300735,2456.00673450775
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
