"","gen","prop_underpredict_mean","dt_mean","dt_sd","movement_rate_mean","movement_rate_sd","bioavail_mean","bioavail_sd","dermal_sa_slope_mean","dermal_sa_slope_sd","dermal_sa_exponent_mean","dermal_sa_exponent_sd","dermal_fraction_mean","dermal_fraction_sd","score_median"
"1",1,0.883666139240506,0.001,0.003,0.001,10,0.01,0.21,1.131,11.003,0.579,0.6112,0.1,0.5,NA
"2",2,0.899009599156118,0.00216281502925712,0.000551690689987147,5.06060000166604,5.06060000166604,0.073924112015795,0.0483517168603815,6.02767454043955,2.85166342898793,0.594882129209592,0.00931392257260741,0.250961024344461,0.109392217826362,2554.29448396328
"3",3,0.914589767932489,0.00223081666284294,0.000417945887874542,5.02680005276597,5.02680005276597,0.05100412148552,0.0267327720813845,6.01792753907672,2.31356341158773,0.594609695839875,0.00748795649576372,0.218948234460112,0.0802573325121999,2537.42911315939
"4",4,0.927175685654008,0.00230269284139396,0.000356389011234839,5.12200001016451,5.12200001016451,0.0375706898580304,0.0164775416559255,6.03741388601587,2.07710697622784,0.594479596256387,0.00688320893087007,0.196435177350245,0.0620762604503094,2533.99901264032
"5",5,0.933167616033755,0.00234371668798073,0.00031774737963132,5.54960004329268,5.54960004329268,0.0334056118999801,0.0105520089432216,6.02573531546028,1.95381126361827,0.594659075300992,0.00628977261703647,0.186632968997017,0.0490959533810063,2533.32015456194
"6",6,0.934498259493671,0.00236875083634463,0.000290703987008818,6.70520000593136,6.70520000593136,0.0328085377142086,0.00760241820612006,5.98058372280671,1.87097904507365,0.594567842104482,0.00608701227503455,0.182674233444323,0.0388524573305025,2533.07216263701
"7",NA,NA,0.00236879113505528,0.000261114152369646,8.39320001892695,8.39320001892695,0.0327163882973495,0.00580755929534066,6.01185817021779,1.85024914960169,0.594501926329207,0.00586349033873129,0.181498305948372,0.0309041388311689,2532.90115350558
"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
